tconst,primaryTitle,startYear,runtimeMinutes,genres,director_name
tt39383915,Moonshine,2027,,"Crime,Drama,Horror",Mason Scott
tt39372868,The Conjuring: First Communion,2027,,Horror,Rodrigue Huart
tt39104938,Untitled Paranormal Activity Project,2027,,Horror,Ian Tuason
tt39391932,3 Blind Mice,2027,91,"Drama,Horror",Peter Thompkin
tt39363051,The Mask One: Faceless,2027,90,Horror,Jeremiah Kipp
tt36495786,A Quiet Place Part III,2027,,Horror,John Krasinski
tt2918116,Gremlins 3,2027,,"Comedy,Fantasy,Horror",Chris Columbus
tt39218326,The Foundation,2027,,"Horror,Thriller",Andrew Hutchison
tt36967819,Eternal Echo,2027,,"Crime,Horror,Mystery",Boris Wolffgardt
tt39196169,Andheron Ka Sayya 2,2027,60,"History,Horror,Mystery",Dhanraj Das
tt37063243,Five Nights at Freddy's 3,2027,,"Horror,Mystery,Thriller",Emma Tammi
tt39381198,Estrus,2027,75,Horror,Julianna Brudek
tt32492552,The Exorcism at 1600 Penn,2027,,"Horror,Thriller",Mike Flanagan
tt39468229,"Sir, Why Me?",2027,,"Action,Horror",Milly Ali
tt32366324,The Crossing,2027,,"Crime,Horror,Thriller",Robert W. Filion
tt37139088,Mania,2027,,Horror,Jason Durgana
tt39522841,Black Clown,2027,,Horror,Samuel C. Morrison Jr.
tt5598542,Mephistopheles,2026,,Horror,Jerome Cloutier
tt17346570,Body Count,2026,,Horror,Jennifer Nangle
tt39377192,The New Dawn,2026,69,"Action,Drama,Horror",Asriel Werikai
tt28176832,Night Comes,2026,,Horror,Jay Hernandez
tt34663597,Sleep No More,2026,,"Fantasy,Horror",Edwin
tt21348532,El rastro del lobo,2026,,"Horror,Thriller",Ángeles Hernández
tt32093575,Scary Movie 6,2026,,"Comedy,Horror",Michael Tiddes
tt27165187,Flowervale Street,2026,,"Action,Adventure,Horror",David Robert Mitchell
tt36457300,Prakambanam,2026,150,"Comedy,Horror",Vijesh Panathur
tt17346570,Body Count,2026,,Horror,Richard Trejo
tt39389854,Space Mutation,2026,90,"Action,Horror,Sci-Fi",Lingfeng Zhu
tt28766782,Within,2026,,Horror,Nick Simon
tt37969938,Pewaris Susuk,2026,,Horror,Faizal Nadxaman
tt30851137,The Bride!,2026,126,"Drama,Horror,Romance",Maggie Gyllenhaal
tt35228788,Portal to the Dead,2026,80,"Documentary,Horror",Albert Edgar Wilson
tt15160410,Lure,2026,,"Horror,Thriller",Oliver Cox
tt37544031,Relevant Evil,2026,,"Drama,Horror,Thriller",Bella Martinez
tt37544031,Relevant Evil,2026,,"Drama,Horror,Thriller",Leonardo Pulido
tt27209887,13 Witches,2026,,Horror,Dean Meadows
tt33978029,Ready or Not 2: Here I Come,2026,104,"Comedy,Horror,Thriller",Tyler Gillett
tt35062707,The Actor's Curse: A Tale of Twisted Fate,2026,,Horror,Marcelo Fabani
tt35887048,Hoagie,2026,106,"Action,Comedy,Horror",Matt Hewitt
tt34383418,Monitor,2026,88,Horror,Ryan Polly
tt34101676,Red Dead Halloween,2026,,Horror,Shawnda Christiansen
tt35250653,Black Cat,2026,110,"Drama,Horror,Thriller",Andrew D. Pringle
tt27720130,Waru,2026,88,Horror,Chiska Doppert
tt33008720,Cancelled,2026,,Horror,Michelle Parker
tt28772570,Obscura,2026,,"Horror,Mystery,Thriller",Joshy Lee
tt36314978,Pemuja,2026,92,Horror,Azmir Affandi
tt37969114,Broken,2026,114,"Crime,Horror,Thriller",Nate Taylor
tt39245815,Tell Me Some Creepier Stories,2026,,Horror,Phillip J. McLaughlin
tt38980561,Wilderness Tapes: Volume One,2026,52,Horror,Brandon Walker
tt39385291,Zir-i Cin 4: Nesep Bagi,2026,,Horror,Burak Küçük
tt14561924,Ourselves,2026,,"Drama,Horror,Thriller",Tara Rule
tt38813589,Strange Spirits,2026,,Horror,Jerome Cloutier
tt3857078,Demon Party,2026,,"Comedy,Horror",Jerome Cloutier
tt32581160,Satu,2026,,"Horror,Thriller",Feroz Kader
tt30241139,The Shepherd,2026,,"Horror,Mystery",John Hyams
tt32810350,Redhead II: Deadhead,2026,,"Horror,Mystery,Thriller",Sam Hodge
tt35380628,The Girl in the Lighthouse,2026,75,"Horror,Thriller",Kalle Hennie
tt39328330,Beyond Sasquatch,2026,,Horror,Gregory Hatanaka
tt35060097,The Scar Lake 7,2026,,"Horror,Thriller",Shannon Brown
tt12753082,Samedi Gris,2026,,"Comedy,Horror,Musical",Jerome Cloutier
tt31170389,Evil Dead Burn,2026,,"Fantasy,Horror,Mystery",Sébastien Vanicek
tt35667193,The Veil of Silence,2026,90,Horror,Mike Davies
tt39385291,Zir-i Cin 4: Nesep Bagi,2026,,Horror,Mesut Erbas
tt33484799,Rabbit Ears,2026,,"Fantasy,Horror,Sci-Fi",Rodney Stringfellow
tt33008720,Cancelled,2026,,Horror,Craig Quinn
tt35284002,Corbin,2026,,"Crime,Drama,Horror",Roye Mr. R.S. Strawder
