,id,budget,imdb_id,genres,overview,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,status,vote_average,title,tagline,vote_count
0,1236153,60000000,tt31050594,"Science Fiction, Action, Thriller","In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",Mercy,639.672,"Atlas Entertainment, Amazon MGM Studios, Bazelevs",US,2026-01-20,49463290,100,Released,6.97,Mercy,Prove your innocence to an AI judge or face execution.,394
1,1272837,63000000,tt32141377,"Horror, Thriller, Science Fiction",Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,28 Years Later: The Bone Temple,281.7037,"Columbia Pictures, TSG Entertainment, DNA Films","GB, US",2026-01-14,58586229,109,Released,7.255,28 Years Later: The Bone Temple,Fear is the new faith.,525
2,840464,90000000,tt14850054,"Adventure, Thriller, Science Fiction","Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",Greenland 2: Migration,220.1914,"Lionsgate, STXfilms, Anton, Thunder Road, G-BASE, CineMachine","GB, US",2026-01-07,39924680,98,Released,6.538,Greenland 2: Migration,Hope is uncharted territory.,489
3,1168190,78500000,tt33046197,"Action, Comedy, Crime, Mystery","Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",The Wrecking Crew,163.2222,"Amazon MGM Studios, On the Roam, Dogbone Entertainment, Henness Ridge Entertainment, 6th & Idaho Motion Picture Company, Reunion Pacific Entertainment","US, CA",2026-01-28,89000000,124,Released,6.914,The Wrecking Crew,They fight like brothers. They wreck like legends.,650
4,1316092,80000000,tt32897959,"Romance, Drama","Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.",“Wuthering Heights”,149.9314,"MRC, LuckyChap Entertainment, Lie Still, Warner Bros. Pictures, Domain Entertainment","US, GB",2026-02-11,151700000,136,Released,6.552,“Wuthering Heights”,Come undone.,318
5,1317672,0,tt36331860,"Romance, Drama","After her brother's death, June moves to Milan for a fresh start, finding comfort in Will, the perfect honor student at her new international school. But when his troubled best friend James—hiding a dangerous life in clandestine MMA fights—sparks a rivalry that quickly turns into irresistible attraction, June must choose between safety and a love that upends everything she thought she wanted.",Love Me Love Me,106.7115,"Lotus Production, Amazon MGM Studios","IT, US",2026-02-12,0,99,Released,5.836,Love Me Love Me,,116
6,1315303,21000000,tt33028778,"Horror, Thriller","Lucy, a college student, along with her friends, spend their vacation at her family's home in Hawaii, which includes her pet chimpanzee, Ben. However, when Ben contracts rabies after being bitten by a rabid animal, the group must fight for their lives in order to avoid the now-violent chimp.",Primate,98.2568,"18Hz Productions, Paramount Pictures, Domain Entertainment",US,2026-01-01,39722402,89,Released,6.643,Primate,Something's wrong with Ben.,368
7,1306368,100000000,tt32642706,"Action, Thriller, Crime","Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",The Rip,74.0246,Artists Equity,US,2026-01-13,0,113,Released,7.056,The Rip,Count the money. Count it again. Count on no one.,1220
8,1198994,40000000,tt8036976,"Horror, Thriller, Comedy","Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",Send Help,44.8228,"Raimi Productions, 20th Century Studios, TSG Entertainment",US,2026-01-22,75381629,113,Released,7.084,Send Help,Meet Linda Liddle... She's from strategy and planning. She's the boss now.,311
9,680493,23000000,tt22868010,"Horror, Mystery","When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",Return to Silent Hill,30.1367,"Konami, Davis Films, Ashland Hill Media Finance, Supernix, WIP, Richmond Pictures, Lipsync Productions, Electric Shadow Company","FR, JP, US, GB, DE",2026-01-21,41586056,106,Released,5.1,Return to Silent Hill,Guilt is a place you can never leave.,167
10,1198984,0,tt29713093,"Horror, Thriller","After a catastrophic military disaster, the dead don't just rise—they hunt. The military insists they are harmless and slow-moving, offering hope to grieving families. But when Ava enters a quarantine zone searching for her missing husband, she uncovers the horrifying truth: the undead are growing more violent, more relentless, and more dangerous with every passing hour.",We Bury the Dead,27.0365,"Campfire Studios, Gramercy Park Media, Lotterywest, ScreenWest, Screen Australia, The Penguin Empire","AU, US",2026-01-01,3745163,95,Released,6.26,We Bury the Dead,Volunteers needed.,104
11,1034716,1000000,tt22740896,"Romance, Comedy, Drama","Poppy's a free spirit. Alex loves a plan. After years of summer vacations, these polar-opposite pals wonder if they could be a perfect romantic match.",People We Meet on Vacation,11.9276,"3000 Pictures, Temple Hill Entertainment, HarperCollins Publishers",US,2026-01-06,0,116,Released,7.025,People We Meet on Vacation,"On vacation, you're free to follow your heart.",464
12,1259983,0,tt31777964,"Drama, Thriller","Matt, a charismatic coach, captivates crowds until he spirals into a disturbing downward spiral.",Gourou,4.6587,"Ninety Films, WY Productions, StudioCanal, Panache Productions, M6 Films",FR,2026-01-28,0,126,Released,6.16,Guru,Beware of your idols.,144
