,id,budget,genres,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,status,vote_average,title,vote_count
0,1234731,45000000,"Adventure, Comedy, Horror",Anaconda,164.6509,"Fully Formed Entertainment, Columbia Pictures, TSG Entertainment",US,2025-12-24,131454208,100,Released,5.8,Anaconda,466
1,1198994,40000000,"Horror, Thriller, Comedy",Send Help,96.3278,"Raimi Productions, 20th Century Studios, TSG Entertainment",US,2026-01-22,32592960,113,Released,7.014,Send Help,178
2,1454741,0,Horror,The Confession,95.028,"Three Folks Pictures, Five by Five",US,2026-01-08,0,87,Released,5.278,The Confession,18
3,1212742,0,"Horror, Thriller, Mystery",The Rule of Jenny Pen,79.4737,"Light in the Dark Productions, Blueskin Films",NZ,2025-03-07,422256,104,Released,6.017,The Rule of Jenny Pen,120
4,1116201,3000000,"Horror, Science Fiction, Mystery",Iron Lung,78.1911,Markiplier Studios,US,2026-01-29,28455127,125,Released,7.558,Iron Lung,69
5,801937,0,"Horror, Thriller","Silent Night, Deadly Night",65.0792,"Cineverse, New Dimension Pictures, White Bear Films, Rebel 6 Film, Sixth Dimension, Wonderwheel Entertainment, StudioCanal, Bear Paw Studios","US, CA, FR",2025-12-11,0,96,Released,6.3,"Silent Night, Deadly Night",70
6,1412598,0,"Thriller, Horror, Action, Mystery, Science Fiction",Killer Whale,52.6427,"Jaggi Entertainment, Metrol Technology, Ace Entertainment Films, Head Gear Films, Asia Pacific Film Group, Screen Queensland","AU, US, GB",2026-01-16,0,89,Released,5.915,Killer Whale,53
7,1199869,10000000,Horror,Eye for an Eye,50.0898,"Ley Line Entertainment, glassEyeballs, WME Independent, HanWay Films","US, GB",2025-07-03,0,101,Released,5.523,Eye for an Eye,22
8,1475490,0,"Thriller, Horror, Drama",The Calling Witch,48.7497,,,2026-01-20,0,98,Released,6.1,The Calling Witch,7
9,1233413,90000000,"Horror, Action, Thriller",Sinners,47.6811,"Warner Bros. Pictures, Proximity Media, Domain Entertainment",US,2025-04-16,368389632,138,Released,7.49,Sinners,3594
10,1228246,36000000,"Horror, Thriller",Five Nights at Freddy's 2,45.026,"Blumhouse Productions, Scott Cawthon Productions, Mind Hive Films",US,2025-12-03,239309958,104,Released,6.711,Five Nights at Freddy's 2,707
11,1246049,52000000,"Horror, Fantasy, Romance",Dracula,43.8251,"EuropaCorp, TF1 Films Production, SND, Kinology, Actarus Productions, Luc Besson Production",FR,2025-07-30,28623298,130,Released,7.152,Dracula,787
12,1062722,120000000,"Drama, Fantasy, Horror",Frankenstein,42.8893,"Double Dare You, Demilo Films, Bluegrass 7","US, CA",2025-10-17,480678,150,Released,7.687,Frankenstein,2854
13,1196067,0,"Science Fiction, Action, Horror",Worldbreaker,42.8481,"23ten, Gramercy Park Media, Studio507, Amasia Entertainment","GB, US",2025-10-30,0,95,Released,6.2,Worldbreaker,69
14,1272837,63000000,"Horror, Thriller, Science Fiction",28 Years Later: The Bone Temple,40.3212,"Columbia Pictures, TSG Entertainment, DNA Films","GB, US",2026-01-14,54180810,109,Released,7.281,28 Years Later: The Bone Temple,304
15,1198984,0,"Horror, Thriller",We Bury the Dead,35.9909,"Campfire Studios, Gramercy Park Media, Lotterywest, ScreenWest, Screen Australia, The Penguin Empire","AU, US",2026-01-01,3745163,95,Released,6.143,We Bury the Dead,49
16,1315303,21000000,"Horror, Thriller",Primate,34.744,"18Hz Productions, Paramount Pictures, Domain Entertainment",US,2026-01-01,36335958,89,Released,6.359,Primate,99
17,460952,0,"Science Fiction, Fantasy, Horror",Darken,34.3659,Shaftesbury Films,CA,2017-11-26,0,82,Released,5.833,Darken,6
18,1408208,0,"Horror, Mystery",８番出口,31.7618,"TOHO, AOI Pro., Story, Lawson, Suirinsha, Tohan, Office Nino, Metro Ad Agency",JP,2025-08-28,39003150,95,Released,6.295,Exit 8,144
19,680493,23000000,"Horror, Mystery",Return to Silent Hill,29.1968,"Konami, Davis Films, Ashland Hill Media Finance, Supernix, WIP, Richmond Pictures, Lipsync Productions, Electric Shadow Company","FR, JP, US, GB, DE",2026-01-21,19300000,106,Released,5.09,Return to Silent Hill,94
